"Property: Property Name","# of Dock Doors","# of Grade Level Doors","# of Parking Spaces","Available SF","Ceiling Height (ft)","City","Land Size (Acres)","Lease Price (PSF)","Net Operating Income","Lead Broker","Year Built","Warehouse Space (SF)","Price (PSF)","Price (per Unit)","Price (total)","Sprinkler Type","Unit Amenities","# of Bathrooms","# of Bedrooms","# of Buildings","# of Elevators","# Of Units","# of Floors","Access Frontage","Building Status","Sales (per SF)","Building Type","Lease Structure","Truck Court Depth (ft)","Traffic (per Day)","In-Place Rent (psf)","Building Size (SF)","Dock Height (ft)","Listing Status"
"416 N College Ave","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","4720","","For Sale"
"1930 N College Ave","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","5625","","For Sale"
"5266 N Thompson St","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","5195","","For Sale"
"9141 Greenhouse Rd","","","","","","Bentonville","0.00","","","Palmer","","","","","","","","","","","","","","","","","","","","","","4644","","For Sale"
"2351 W Sunset Ave","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","4950","","For Sale"
"11219 N Old Wire Rd","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","4800","","For Sale"
"228 E County Line Rd","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","5384","","For Sale"
"1 Shoppes at Har-Ber MASTER","","","","","","Springdale","0.00","","","Clinton","","","","","","","","","","","","","","","","","","","","","","6326","","For Sale"
"2589 W Martin Luther King Jr Blvd","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","4892","","For Sale"
"902 W Olrich St","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","5355","","For Sale"
"903 SE 21st St","","","","","","Bentonville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","5250","","For Sale"
"909 SE 21st St","","","","","","Bentonville","0.00","","","Palmer","","","","","","","","","","","","","","","","","","","","","","5000","","For Sale"
"304 W Sunset Ave","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","4960","","For Sale"
"109 W Emma Ave","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","4708","","For Sale"
"705 Hatcher Rd","","","","","","Springdale","3.01","","","Palmer","","","","","","","","","","1","","","","","","","","","","","","4452","","For Sale"
"3485 Bella Vista Way","","","","","","Bella Vista","0.00","","","Clinton","","","","","","","","","","","","","","","","","","","","","","1449","","For Sale"
"406 N Bloomington St","","","","","","Lowell","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","3730","","For Sale"
"1010 Clayton St","","","","","","Springdale","0.00","","","Palmer","","","","","","","","","","1","","","","","","","","","","","","3588","","For Sale"
"209 S Walton Blvd","","","","","","Bentonville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","4228","","For Sale"
"1260 E Robinson Ave","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","3376","","For Sale"
"849 W Banz Rd","","","","","","Rogers","0.28","","","Palmer","","","","","","","","","","1","","","","","","","","","","","","4250","","For Sale"
"389 E Pickens Rd","","","","","","Pea Ridge","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","3860","","For Sale"
"2190 W Martin Luther King Jr Blvd","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","3249","","For Sale"
"927 NW 12th St & 1146 NW J St","","","","","","Bentonville","0.00","","","Michael","","","","","","","","","","","","","","","","","","","","","","4000","","For Sale"
"600 S Thompson St","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","3365","","For Sale"
"815 N 2nd St","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"3895 Gene George Anderson Rd","","","","","","Springdale","3.48","","","Corey","","","","","","","","","","","","","","","","","","","","","","6170","","For Sale"
"1104 Century St","","","","","","Springdale","0.00","","","Palmer","","","","","","","","","","1","","","","","","","","","","","","3600","","For Sale"
"414 Holcomb St","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","3575","","For Sale"
"115 N Block Ave","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","3545","","For Sale"
"1505 W Walnut St","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","3006","","For Sale"
