"Property: Property Name","# of Dock Doors","# of Grade Level Doors","# of Parking Spaces","Available SF","Ceiling Height (ft)","City","Land Size (Acres)","Lease Price (PSF)","Net Operating Income","Lead Broker","Year Built","Warehouse Space (SF)","Price (PSF)","Price (per Unit)","Price (total)","Sprinkler Type","Unit Amenities","# of Bathrooms","# of Bedrooms","# of Buildings","# of Elevators","# Of Units","# of Floors","Access Frontage","Building Status","Sales (per SF)","Building Type","Lease Structure","Truck Court Depth (ft)","Traffic (per Day)","In-Place Rent (psf)","Building Size (SF)","Dock Height (ft)","Listing Status"
"Bentonville Office Complex - Building 6","","","","","","Bentonville","","17.63","244069.00","","2004","","","","","","","","","1","","","","","","","","MG","","","","19609","","For Sale"
"Bentonville Office Complex - Building 4","","","","","","Bentonville","","19.15","226914.00","","2008","","","","","","","","","1","","","","","","","","NNN","","","","11851","","For Sale"
"Bentonville Office Complex - Building 5","","","","","","Bentonville","","22.57","1026421.00","","2015","","","","","","","","","1","","","","","","","","NNN","","","","45485","","For Sale"
"Bentonville Office Complex - Building 7","","","","","","Bentonville","","18.55","167283.00","","2006","","","","","","","","","1","","","","","","","","MG","","","","13947","","For Sale"
"Bentonville Office Complex - Vacant Lot","","","","","","Bentonville","1.35","","","","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"3113 N Walton Blvd","","","","","","Bentonville","1.35","","","","2002","","","","","","","","","1","","","2","","","","","","","","","11032","","For Sale"
"400 W Capitol Ave, Little Rock, AR, 72941","","","640","","","Little Rock","","","","Clinton","1975","","","","","","","","","1","","","31","","","","","","","","","530181","","For Sale"
"1400 SE Eagle Way (Billboard)","","","","","","Bentonville","","","13200.00","Clinton","","","","","200000.00","","","","","","","","","","","","","NNN","","","","0","","For Sale"
"3552 S 27th St","","","","","","Rogers","7.81","","","N/A - Other","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"Archers Business Park - MASTER","","","","","","","","","","N/A - Other","","","","","","","","","","","","","","","","","","","","","","0","",""
"1402 E Central Ave - Archers Business Park - Building 1","","","33","","","Bentonville","4.03","","","N/A - Other","","","","","","","","","","1","","","","","","","","","","","","14950","","For Sale"
"1404 E Central Ave - Archers Business Park - Building 2","","","28","","","Bentonville","","","","N/A - Other","","","","","","","","","","1","","","","","","","","","","","","11419","","For Sale"
"1400 E Central Ave - Archers Business Park - Building 5","","","21","","","Bentonville","","","","N/A - Other","2015","","","","","","","","","1","","","1","","","","","","","","","8250","","For Sale"
"3868 HWY 412 E","","","132","","","Siloam Springs","1.90","","190000.00","N/A - Other; Clinton","2025","","557.12","","3619047.00","","","","","1","","","1","","","","","","","27525","","6496","","For Sale"
"1401 E Main St","","","140","","","Russellville","1.64","","190000.00","N/A - Other; Clinton","2025","","557.12","","3619047.00","","","","","1","","","1","","","","","","","24534","","3964","","For Sale"
"109 SE 22nd St, Bentonville, AR, 72712","","","","","","Bentonville","","15.75","","N/A - Other; Corey; Oksana","2006","","","","","","","","","1","","","1","","","","","","","","","12332","","For Sale"
"5206 Village Pkwy - Village on the Creeks","","","80","","","Rogers","2.17","26.00","","Butch","1996","","","","","","","","","1","","6","1","","","","","","","","","21808","","For Sale"
"5208 Village Pkwy - Village on the Creeks","","","42","","","Rogers","1.33","","","Butch","1999","","","","","","","","","1","","8","1","","","","","NNN","","","","18889","","For Sale"
"5212 Village Pkwy - Village on the Creeks","","","36","","","Rogers","1.37","","","Butch","1997","","","","","","","","","1","","","1","","","","","","","","","16324","","For Sale"
"5215 Village Pkwy - Village on the Creeks","","","72","","","Rogers","0.92","","","Butch","2016","","","","","","","","","1","","1","1","","","","","","","","","3669","","For Sale"
"5214 Village Pkwy - Village on the Creeks","","","261","","","Rogers","3.92","","","Butch","1996","","","","","","","","","1","","3","2","","","","","","","","","38202","","For Sale"
"5302 Village Pkwy - Village on the Creeks","","","30","","","Rogers","0.94","","","Butch","1999","","","","","","","","","1","","2","1","","","","","","","","","10080","","For Sale"
"5308 Village Pkwy - Village on the Creeks","","","22","","","Rogers","0.60","","","Butch","1996","","","","","","","","","1","","1","1","","","","","","","","","6510","","For Sale"
"5305 Village Pkwy - Village on the Creeks","","","70","","","Rogers","2.11","","","Butch","1999","","","","","","","","","1","","9","1","","","","","","","","","16464","","For Sale"
"5309 Village Pkwy - Village on the Creeks","","","16","","","Rogers","0.50","","","Butch","2000","","","","","","","","","1","","2","1","","","","","","","","","5008","","For Sale"
"5306 Village Pkwy - Village on the Creeks","","","21","","","Rogers","0.62","","","Butch","1998","","","","","","","","","1","","2","1","","","","","","","","","6082","","For Sale"
"5310 Village Pkwy - Village on the Creeks","","","27","","","Rogers","1.18","","","Butch","1996","","","","","","","","","1","","4","1","","","","","","","","","12764","","For Sale"
"2103 S 54th St - Village on the Creeks","","","18","","","Rogers","1.18","","","Butch","1996","","","","","","","","","1","","2","1","","","","","","","","","12764","","For Sale"
"2102 S 54th St - Village on the Creeks","","","19","","","Rogers","0.59","","","Butch","1997","","","","","","","","","1","","3","1","","","","","","","","","5230","","For Sale"
"2105 S 54th St - Village on the Creeks - #2","","","19","","","Rogers","0.63","","","Butch","2000","","","","","","","","","1","","1","1","","","","","","","","","5180","","For Sale"
"2106 S 54th St - Village on the Creeks","","","19","","","Rogers","0.59","","","Butch","1999","","","","","","","","","1","","4","1","","","","","","","","","5040","","For Sale"
"2104 S 54th St - Village on the Creeks","","","19","","","Rogers","0.59","","","Butch","2000","","","","","","","","","1","","2","1","","","","","","","","","5180","","For Sale"
"2107 S 54th St - Village on the Creeks","","","20","","","Rogers","0.61","","","Butch","2000","","","","","","","","","1","","1","1","","","","","","","","","7688","","For Sale"
"Commerce Office Park MASTER","","","","","","","","","","N/A - Other","","","","","","","","","","","","","","","","","","","","","","0","",""
"715 S 8th St","","","","","","Rogers","","","","Corey","","","","","","","","","","1","","","","","","","","","","","","0","","For Sale"
"South Walton Plaza","","","","","","","","","","Corey","","","","","","","","","","","","","","","","","","","","","","0","",""
"1500 E Dave Ward Dr","","","","","","Conway","","21.00","","Clinton","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"1295 W Van Asche Dr","","","","","","Fayetteville","4.02","","","Corey","","","8.00","","1400889.60","","","","","","","","","","","","","","","","","0","","For Sale"
"162 Grading Ln","","","","","","Cave Springs","","","","N/A - Other","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"507 W Monroe Avenue Unit#A & B","","","","","","Lowell","1.92","26.00","","Corey","2018","","","","","","","","","","","","","","","","Multi-Tenant Building, Single Tenant/Free Standing","Triple Net Lease","","","","6600","","For Lease"
